DrugGEN_MOL_ID,DOCKING_SCORE
MOL_02_009703,-8.378
MOL_01_026179,-8.378
MOL_02_034402,-8.377
MOL_01_032082,-8.376
MOL_01_030576,-8.375
MOL_01_027354,-8.374
MOL_02_002237,-8.374
MOL_01_031980,-8.373
MOL_02_009963,-8.372
MOL_02_018819,-8.371
MOL_02_002011,-8.371
MOL_02_001255,-8.37
MOL_02_009396,-8.369
MOL_01_027206,-8.369
MOL_01_026723,-8.368
MOL_02_012388,-8.368
MOL_02_019820,-8.367
MOL_02_000730,-8.367
MOL_02_011624,-8.366
MOL_02_004163,-8.365
MOL_02_030515,-8.364
MOL_02_013565,-8.364
MOL_02_036401,-8.362
MOL_02_005074,-8.362
MOL_01_026132,-8.361
MOL_01_031813,-8.361
MOL_02_018392,-8.36
MOL_02_025975,-8.36
MOL_02_018956,-8.36
MOL_02_003456,-8.36
MOL_02_001520,-8.36
MOL_02_033130,-8.359
MOL_02_005624,-8.359
MOL_02_032985,-8.359
MOL_01_031675,-8.357
MOL_01_030060,-8.356
MOL_02_017106,-8.355
MOL_02_011382,-8.354
MOL_02_001365,-8.353
MOL_01_025932,-8.353
MOL_02_026389,-8.352
MOL_01_030951,-8.35
MOL_02_035890,-8.349
MOL_02_023123,-8.347
MOL_01_025261,-8.346
MOL_02_033002,-8.346
MOL_02_029775,-8.346
MOL_02_009801,-8.345
MOL_01_031965,-8.342
MOL_01_032657,-8.342
MOL_02_006326,-8.341
MOL_01_028178,-8.34
MOL_02_007667,-8.339
MOL_01_027147,-8.339
MOL_01_025435,-8.338
MOL_02_009478,-8.337
MOL_02_003237,-8.336
MOL_01_032762,-8.334
MOL_02_000676,-8.332
MOL_02_024378,-8.332
MOL_02_024390,-8.33
MOL_02_009213,-8.33
MOL_02_005605,-8.33
MOL_02_009411,-8.329
MOL_01_029823,-8.328
MOL_02_000212,-8.327
MOL_01_027522,-8.327
MOL_01_031047,-8.323
MOL_02_021151,-8.321
MOL_02_004472,-8.321
MOL_02_009684,-8.321
MOL_02_035885,-8.321
MOL_02_034193,-8.32
MOL_02_005885,-8.319
MOL_01_029815,-8.319
MOL_01_029819,-8.319
MOL_02_009568,-8.318
MOL_02_036918,-8.318
MOL_02_019620,-8.318
MOL_01_026820,-8.317
MOL_01_025029,-8.317
MOL_02_004315,-8.316
MOL_01_027613,-8.315
MOL_02_011633,-8.314
MOL_01_029508,-8.313
MOL_01_027183,-8.309
MOL_01_027520,-8.305
MOL_01_032503,-8.305
MOL_02_023130,-8.303
MOL_01_029471,-8.303
MOL_01_028556,-8.301
MOL_02_016342,-8.301
MOL_02_027821,-8.3
MOL_02_012239,-8.299
MOL_02_033053,-8.296
MOL_01_028012,-8.295
MOL_02_030485,-8.295
MOL_02_009313,-8.295
MOL_01_024897,-8.294
MOL_02_030367,-8.294
MOL_02_004731,-8.294
MOL_02_009049,-8.293
MOL_01_028528,-8.292
MOL_02_026848,-8.291
MOL_02_005749,-8.291
MOL_02_030447,-8.291
MOL_01_031200,-8.29
MOL_02_001880,-8.289
MOL_01_027303,-8.289
MOL_02_029528,-8.286
MOL_01_031975,-8.286
MOL_02_032223,-8.282
MOL_02_009790,-8.282
MOL_02_018317,-8.281
MOL_02_009009,-8.281
MOL_02_031694,-8.281
MOL_02_037411,-8.28
MOL_02_012221,-8.28
MOL_02_014940,-8.279
MOL_02_031128,-8.279
MOL_01_026045,-8.278
MOL_02_017237,-8.277
MOL_02_018299,-8.276
MOL_02_008342,-8.275
MOL_02_006516,-8.275
MOL_01_030434,-8.274
MOL_01_032947,-8.272
MOL_02_017813,-8.272
MOL_01_028550,-8.271
MOL_01_030097,-8.271
MOL_01_027356,-8.27
MOL_02_005121,-8.268
MOL_01_026851,-8.267
MOL_02_035975,-8.267
MOL_02_009338,-8.266
MOL_01_025877,-8.265
MOL_02_004823,-8.263
MOL_02_030703,-8.262
MOL_02_007050,-8.261
MOL_02_033500,-8.261
MOL_02_030752,-8.26
MOL_01_025091,-8.26
MOL_02_009757,-8.259
MOL_02_032947,-8.259
MOL_02_018123,-8.259
MOL_02_014291,-8.256
MOL_02_019403,-8.256
MOL_01_032729,-8.256
MOL_02_007162,-8.254
MOL_02_024512,-8.254
MOL_02_009646,-8.253
MOL_02_032255,-8.253
MOL_02_036092,-8.252
MOL_02_009252,-8.252
MOL_02_038003,-8.25
MOL_01_031322,-8.25
MOL_02_004118,-8.249
MOL_02_001415,-8.249
MOL_02_018228,-8.248
MOL_01_028016,-8.248
MOL_01_033032,-8.247
MOL_02_032113,-8.246
MOL_02_009399,-8.246
MOL_02_017446,-8.245
MOL_01_031591,-8.245
MOL_02_026252,-8.244
MOL_02_019520,-8.244
MOL_01_030155,-8.243
MOL_02_016526,-8.242
MOL_02_006004,-8.242
MOL_02_005056,-8.241
MOL_02_000650,-8.237
MOL_01_025374,-8.236
MOL_02_006487,-8.234
MOL_02_009325,-8.234
MOL_02_023072,-8.233
MOL_02_002219,-8.233
MOL_01_029652,-8.233
