CHEMBL_MOL_ID,DOCKING_SCORE
CHEMBL3968742,-6.646
CHEMBL3981833,-6.642
CHEMBL3703124,-6.64
CHEMBL1079626,-6.639
CHEMBL2151821,-6.638
CHEMBL493250,-6.638
CHEMBL3672492,-6.638
CHEMBL226577,-6.637
CHEMBL3696239,-6.629
CHEMBL3976247,-6.624
CHEMBL1081830,-6.623
CHEMBL2151927,-6.622
CHEMBL3935564,-6.622
CHEMBL3696270,-6.62
CHEMBL470200,-6.619
CHEMBL523695,-6.617
CHEMBL1081296,-6.613
CHEMBL3926246,-6.612
CHEMBL3944201,-6.612
CHEMBL595459,-6.611
CHEMBL3672036,-6.611
CHEMBL3923786,-6.608
CHEMBL3703169,-6.607
CHEMBL3672017,-6.605
CHEMBL3414677,-6.605
CHEMBL402199,-6.604
CHEMBL376792,-6.604
CHEMBL3931504,-6.601
CHEMBL376570,-6.601
CHEMBL4574111,-6.601
CHEMBL2151932,-6.597
CHEMBL3699811,-6.595
CHEMBL1823630,-6.593
CHEMBL3672542,-6.592
CHEMBL3917496,-6.59
CHEMBL276130,-6.59
CHEMBL1082016,-6.584
CHEMBL3672068,-6.583
CHEMBL593573,-6.581
CHEMBL376118,-6.581
CHEMBL3905309,-6.58
CHEMBL3699800,-6.576
CHEMBL3928308,-6.575
CHEMBL227324,-6.574
CHEMBL1760768,-6.573
CHEMBL3112856,-6.571
CHEMBL3701727,-6.565
CHEMBL2016889,-6.561
CHEMBL3639951,-6.56
CHEMBL3112855,-6.559
CHEMBL379849,-6.558
CHEMBL3696289,-6.557
CHEMBL3696296,-6.552
CHEMBL1081105,-6.547
CHEMBL3931890,-6.545
