CHEMBL_ID,SMILES,DOCKING_SCORE
CHEMBL258550,CC(C)([NH3+])C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCOc1ccccc1C(=O)NCCO,-7.623
CHEMBL3765516,O[C@@H]1[C@@H](O)[C@H](Nc2cccc3ccccc23)OC[C@H]1O,-7.618
CHEMBL2064412,O=c1cc(N2CCOCC2)nc(Cc2nc3cccc(-c4ccccc4)c3o2)[nH]1,-7.615
CHEMBL1342492,O=C(COC(=O)c1c(F)cccc1F)Nc1ccc2[nH]c(=O)[nH]c2c1,-7.615
CHEMBL2009379,CC(C)[C@H]([NH3+])C(=O)N[C@H](CCC(=O)NCCCC[C@H]([NH3+])C(=O)NCCCNc1ccc([N+](=O)[O-])c2[nH]c3ccccc3c(=O)c12)C(N)=O,-7.615
CHEMBL56369,O=C(Cc1cccnc1)NNC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCc1ccccc1,-7.613
CHEMBL2011060,Cc1ncccc1C(=O)Nc1ccc(C(C)C)cc1N1CCN(c2ncnc3ccsc23)CC1,-7.608
CHEMBL131744,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@@H]1C[C@@H](NC(=O)[C@H]([NH3+])CC(C)C)[C@@H](O)[C@@H](C)O1,-7.605
CHEMBL1927684,CN(CCCCc1ccccc1)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,-7.603
CHEMBL397939,C[C@@]1(C(=O)Nc2ccc(Br)c(C(F)(F)F)c2)CC(C(F)(F)F)=NN1,-7.603
CHEMBL171369,Nc1ncnc2c1ncn2[C@@H]1O/C(=C/F)[C@H](O)[C@@H]1O,-7.601
CHEMBL1539403,COc1ccc(NC(=O)Nc2ccc3c(c2)N(C)C(=O)CS3)cc1OC,-7.6
CHEMBL1915980,CCCC[C@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)C[NH2+]Cc2cccc(OC)c2)C1=O,-7.598
CHEMBL4101715,CSCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(N)=[NH2+])N(C)C1=O,-7.597
CHEMBL501914,O=C(OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,-7.595
CHEMBL1187958,NC(=[NH2+])c1ccc(C(N)=[NH2+])cc1,-7.594
CHEMBL393648,O[C@@H](C[NH2+]C1CCCCC1)COc1cccc2[nH]ccc12,-7.587
CHEMBL4064440,CC(C)[N@@H+]1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,-7.581
CHEMBL3678801,CC(=O)c1cn(CC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2cc(O)ccc12,-7.58
CHEMBL2386496,B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@H](O)[C@@H]1O)OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-],-7.575
CHEMBL1209286,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]C1(c2cccc([C@@H]3CCOCOC3)c2)CCCCC1,-7.572
CHEMBL3195478,CCOc1cc(/C=N/NC(=O)[C@H](OC)c2ccccc2)ccc1O,-7.569
CHEMBL3675320,NC(=O)c1cc(OCCC[N@H+]2CC[C@@H](O)C2)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,-7.559
CHEMBL203196,CN(Cc1ccccc1)C(=O)COc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,-7.558
CHEMBL178002,CCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)c1ccccc1)C(C)C)C(=O)COC(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,-7.556
CHEMBL1969629,NC(=O)c1ncn(Cc2ccccc2)c1C[NH3+],-7.554
CHEMBL491265,CCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CN(Cc3ccccc3)C2=O)CC1=O,-7.553
CHEMBL3804891,NC(=O)c1cncc(OCc2cccc(NC(=O)c3cc4ccccc4s3)c2)c1,-7.55
CHEMBL354481,COc1cc(C(=O)[O-])ccc1COc1cc(O)c2c(=O)ccn(C)c2c1,-7.538
CHEMBL89364,CSC[C@H](NC(=O)CNC(=O)N1CCC(=O)CC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)CC(C)C,-7.535
